AccusedRef,FirstName,LastName,Alias,DesTitle,Sex,Res_settlement,Res_parish,Res_presbytery,Res_county,MaritalStatus,Occupation,Notes
A/EGD/10,Mareon,Quheitt,,,Female,Sammuelston,P/JO/3539,Haddington,Haddington,,,
A/EGD/100,Thom,Cockburn,,,Male,,,,Haddington,,,
A/EGD/1000,Christian,Aitkenhead,,,Female,Rottinraw,,,Dumfries,Married,,
A/EGD/1001,Janet,Ireland,,,Female,Rottinraw,,,Dumfries,Widowed,,
A/EGD/1002,Agnes,Hendersoun,,,Female,,P/ST/1446,Stirling,Stirling,,,
A/EGD/1003,Margaret,Young,,,Female,,P/ST/1359,Haddington,Haddington,,,
A/EGD/1004,Margaret,Ridpeth,,,Female,,P/ST/1359,Haddington,Haddington,,,
A/EGD/1005,Janet,Reid,,,Female,,P/ST/1359,Haddington,Haddington,,,"Has a daughter accused of witchcraft who was most likely not younger than 25, 25+25=50."
A/EGD/1006,Agnes,Rankein,,,Female,,P/ST/1359,Haddington,Haddington,,,
A/EGD/1007,Marion,Mitchell,,,Female,Leith,P/ST/33,Edinburgh,Edinburgh,,,
A/EGD/1008,Agnes,Liddell,,,Female,Prestonpans,P/ST/1359,Haddington,Haddington,,,
A/EGD/1009,Margaret,Oliver,,,Female,Prestonpans,P/ST/1359,Haddington,Haddington,,,
A/EGD/1010,Barbara,Mathie,,,Female,Prestonpans,P/ST/1359,Haddington,Haddington,,,
A/EGD/1011,Bessie,Riddell,,,Female,Prestonpans,P/ST/1359,Haddington,Haddington,,,
A/EGD/1012,Agnes,Dempstar,,,Female,Prestonpans,P/ST/1359,Haddington,Haddington,,,
A/EGD/1014,Bessie,Wright,,,Female,Querrell Mill,P/ST/141,Perth,Perth,,,"The presbytery entries refer to an earlier incident in 1611 when Wright was reprimanded and told to stop using cures. Age calculated from career, 25 + 17 = 42 although she was probably older as her son was married. The bail she was given was for £1000 so she appears to have been middling economic status."
A/EGD/1015,Janet,Strauchane,,,Female,Prestonpans,P/ST/1359,Haddington,Haddington,Married,,
A/EGD/1016,William,Davidson,,,Male,,P/ST/1408,Haddington,Haddington,,,
A/EGD/1017,Beatrix,Cuthbertson,,,Female,Prestonpans,P/ST/1359,Haddington,Haddington,,,
A/EGD/1018,Janet,Wright,,,Female,Niddry,,,Linlithgow,Married,,"confessed to being a witch for 18-19 years, 18+25=43. Can't find Nidrie parish in Linlithgow presbytery."
A/EGD/1019,Margaret,Barrowman,,,Female,Easthouses,P/ST/1274,Dalkeith,Edinburgh,,,few details about accused.
A/EGD/102,Niniane,Chirneyside,,,Male,,,,Edinburgh,,Servant,"He was the Servant to Earl of Bothwell.  There was a proclamation against him.  He is described as a 'servitor' to Francis, Earl of Bothwell, and he has his own servant."
A/EGD/1020,Elspitt,Duncan,,,Female,,P/ST/660,Dalkeith,Edinburgh,,,Few details.
A/EGD/1021,Marioun,Scheirar,,,Female,,P/ST/660,Dalkeith,Edinburgh,,,Few details about accused.
A/EGD/1022,Janet,Smiberd,,,Female,Middleton,,Dalkeith,Edinburgh,,,Age estimated from mother.
A/EGD/1023,Janet,Unes,,,Female,Middleton,,Dalkeith,Edinburgh,Married,,
A/EGD/1024,Alesoun,Chapman,,,Female,,,Dalkeith,Edinburgh,,,No details about location of accused. In presbytery she is recorded as a vagabond but in RPC there is a blank for the place name.
A/EGD/1025,Christian,Tailyour,,,Female,,,Dalkeith,Edinburgh,,,Recorded as vagabond in presbytery but in RPC place name blank.
A/EGD/1026,Issobell,Thomsoun,,,Female,Corsoute,,Dalkeith,Edinburgh,,,Note in presbytery that accused from ?Corsoute.
A/EGD/1027,Elspitt,Hislop,,,Female,Langniddry,,Haddington,Haddington,Married,,
A/EGD/1028,Janet,Darling,,,Female,Prestonpans,P/ST/1359,Haddington,Haddington,Married,,
A/EGD/103,Jonat,Drummond,,,Female,,,,Haddington,,,
A/EGD/1030,Margaret,Cowane,,,Female,Cannongate,P/ST/654,Edinburgh,Edinburgh,Married,,
A/EGD/1031,Alesoun,Dempstar,,,Female,Leith,P/ST/33,Edinburgh,Edinburgh,Married,,
A/EGD/1032,Issobell,Miller,,,Female,Langniddry,,Haddington,Haddington,Married,,
A/EGD/1033,Issobell,Howatsoun,,,Female,,,,Selkirk,,,
A/EGD/1034,Steven,Malcome,,,Male,Leckie,P/ST/919,Stirling,Stirling,,,I am sure this is the same as Steven Maltman from Leckie who was investigated for charming and healing by the presbytery in 1628.
A/EGD/1035,Katharine,Leithame,,,Female,,,,Selkirk,,,
A/EGD/1036,Margaret,Muirhead,,,Female,,,Dalkeith,Edinburgh,,Vagabond,few details.
A/EGD/1037,William,Watt,,,Male,Westhouses,,Dalkeith,Edinburgh,,,few details.
A/EGD/1038,Malie,Turnour,,,Female,Stobbhill,,Dalkeith,Edinburgh,,,Few details about accused.
A/EGD/1039,Elspeth,Simsoun,,,Female,Badarrach,P/ST/991,Tain,Ross,Married,,
A/EGD/104,Archie,Farquhars,,,Male,,,,Haddington,,,
A/EGD/1040,Marion nein,Gillimichaell,,,Female,,P/ST/827,Tain,Ross,,,
A/EGD/1041,Agnes nein,Donald,,,Female,Bruach,P/ST/392,Tain,Ross,,,
A/EGD/1042,Helen,Gow,,,Female,,P/ST/1495,Tain,Ross,Married,,Husband was a cordiner
A/EGD/1043,Janet,Boyd,,,Female,,P/ST/769,Dunbarton,Dunbarton,Married,,Husband described as a burgess of Dumbarton
A/EGD/1044,William,Dageris,,,Male,Ulstoun,,,Roxburgh,,,
A/EGD/1045,Kathrene,Stewart,Kait Toshe,,Female,Bunjedburgh,,,Roxburgh,,,
A/EGD/1046,Margaret,Jo,,,Female,Musselburgh,P/ST/967,Dalkeith,Edinburgh,,,
A/EGD/1047,Margaret,Burges,Lady Dalyell,,Female,Nether Cramond,P/ST/659,Edinburgh,Edinburgh,Married,,"Record indicates that she was 50.  She was described as a 'relict' to John Dalyell indweller of Cramond.  Her second husband was a boatman, which could indicate lower status, but the JC26 documents suggest that they were at least middling.  She rented land; people begged at her house; they seem to be in the thick of community business dealings.  Her nickname was Lady Dalyell (from her first husband), this was not a proper title.  She was also described as a 'marnet'."
A/EGD/1048,Elspeth,Baird,,,Female,,P/ST/33,Edinburgh,Edinburgh,Widowed,,"Wyfe of Totmuir - described as a beggar (so I have indicated 'lower' status here).  She was begging at Margaret Burges house for meat, milk and bread but Margaret refused due to her 'evil brint'."
A/EGD/1049,Bessie,Littil,,,Female,Langniddry,,Haddington,Haddington,,,"Indweller, therefore middling stauts"
A/EGD/105,Jonet,Fairlie,,,Female,,,,Haddington,,,
A/EGD/1050,Margaret,Baine,,,Female,Langniddry,,Haddington,Haddington,,,"Indweller, therefore middling"
A/EGD/1051,John,McReadie,,,Male,Ranultoun,,,Berwick,,Weaver,
A/EGD/1052,Katherine,Mosse,,,Female,Ligertwode,,,Berwick,Married,,
A/EGD/1053,Katherine,Browne,,,Female,Lawder,P/ST/1133,Earlston,Berwick,,,
A/EGD/1054,George,Blyth,,,Male,Ligertwode,,,Berwick,Married,,
A/EGD/1055,Alesoun,Tailyeour,,,Female,,P/ST/1333,Haddington,Haddington,,,
A/EGD/1056,Sara,Keyth,,,Female,Wintoun,,Haddington,Haddington,Married,,
A/EGD/1057,Isobel,Thomesone,,,Female,Craikffurde,,,Berwick,,,2nd PC entrie has Craillfurde. Probably not the same as Isobel Thomesoun (C/LA/2863) from Ryslaw.
A/EGD/1058,Marion,Bathcat,,,Female,East Barns,P/ST/703,Dunbar,Haddington,,,
A/EGD/1059,Margaret,Baxter,,,Female,,P/ST/703,Dunbar,Haddington,,,
A/EGD/1060,Bessie,Carrilie,,,Female,Tuinname,,,Dumfries,Unknown,,
A/EGD/1061,Bessie,Carrilie,,,Female,,P/ST/1540,Kirkcudbright,Kirkcudbright,,,
A/EGD/1063,Marion,Hardie,,,Female,,P/ST/804,Duns,Berwick,Married,,Listed in a denunciation of 14/3/1629 as the spouse of Sir John Cristie (Trinche).
A/EGD/1064,Gradoch,Neinchat,Nein,,Female,,,,Ross,,,
A/EGD/1065,Katherine,Memphersoun,Naunnchie,,Female,,,,Ross,,,
A/EGD/1066,Marie nein eane,Eir,Mintosche,,Female,,,,Ross,,,
A/EGD/1067,Katherine nein rob,Aunchtie,,,Female,,,,Ross,,,
A/EGD/1068,Bessie,Make,,,Female,,P/ST/1408,Haddington,Haddington,,,
A/EGD/1069,Agnes,Wallace,,,Female,Ayton,,Duns,Berwick,,,
A/EGD/107,Ane,Nairn,,,Female,,,,Haddington,,,
A/EGD/1070,Kathrene,Young,,,Female,Pirne,,,Peebles,Married,,
A/EGD/1071,Marion,Grige,,,Female,Scottistoun,,,Peebles,Married,,
A/EGD/1072,Isobel,Rutherfurde,Grahame,,Female,,,,Peebles,,Vagabond,
A/EGD/1073,Jonet,Neill,,,Female,,P/ST/769,Dunbarton,Dunbarton,Married,,Husband was a burgess so middling S/E status.
A/EGD/1074,Bessie,Meyne,,,Female,,P/ST/1421,Selkirk,Selkirk,,,
A/EGD/1075,Janet,Minto,,,Female,,P/ST/1421,Selkirk,Selkirk,,,
A/EGD/1076,Janet,Hendersoun,,,Female,,P/ST/1157,Selkirk,Selkirk,,,
A/EGD/1077,Bessie,Cumroy,,,Female,,P/ST/564,Selkirk,Selkirk,,,
A/EGD/1078,Isobel,Wright,,,Female,,P/ST/1232,Selkirk,Selkirk,,,
A/EGD/1079,Margaret,Hunter,,,Female,,P/ST/769,Dunbarton,Dunbarton,Married,,
A/EGD/108,Marion,Ranking,,,Female,,,,Haddington,,,
A/EGD/1080,Janet,Donald,,,Female,,P/ST/769,Dunbarton,Dunbarton,Married,,"Husband a burgess, S/E status as middling."
A/EGD/1081,Janet,Melros,,,Female,Chattill,,,,,Midwife,
