CaseRef,Trial_county,LAt,Long
C/LA/3277,Haddington,55.9470505,-2.8120325
C/LA/3173,Ayr,55.4242149,-4.6677211
C/LA/3135,Dumfries,55.0415437,-3.6594178
C/LA/3102,Edinburgh,55.8904228,-3.3330187
C/LA/3101,Edinburgh,55.8904228,-3.3330187
C/LA/3100,Edinburgh,55.8904228,-3.3330187
C/LA/3057,Orkney,58.93525202,-2.74522498
C/LA/3052,Shetland,60.34560802,-1.23700898
C/LA/3045,Shetland,60.34560802,-1.23700898
C/LA/3044,Shetland,60.34560802,-1.23700898
C/LA/3043,Shetland,60.34560802,-1.23700898
C/LA/3042,Shetland,60.34560802,-1.23700898
C/LA/3041,Shetland,60.34560802,-1.23700898
C/LA/2980,Renfrew,55.8609671,-4.4206419
C/LA/2979,Renfrew,55.8609671,-4.4206419
C/LA/2977,Renfrew,55.8609671,-4.4206419
C/LA/2976,Renfrew,55.8609671,-4.4206419
C/LA/2975,Renfrew,55.8609671,-4.4206419
C/LA/2974,Renfrew,55.8609671,-4.4206419
C/LA/2973,Renfrew,55.8609671,-4.4206419
C/LA/2972,Renfrew,55.8609671,-4.4206419
C/LA/2971,Renfrew,55.8609671,-4.4206419
C/LA/2970,Renfrew,55.8609671,-4.4206419
C/LA/2969,Renfrew,55.8609671,-4.4206419
C/LA/2968,Renfrew,55.8609671,-4.4206419
C/LA/2959,Renfrew,55.8609671,-4.4206419
C/LA/2953,Stirling,56.0918724,-3.9750002
C/LA/2952,Haddington,55.9470505,-2.8120325
C/LA/2951,Haddington,55.9470505,-2.8120325
C/LA/2950,Stirling,56.0918724,-3.9750002
C/LA/2949,Stirling,56.0918724,-3.9750002
C/LA/2872,Haddington,55.9470505,-2.8120325
C/LA/2862,Ayr,55.4242149,-4.6677211
C/LA/2759,Fife,56.0058839,-3.7395259
C/LA/2755,Perth,56.3567058,-3.5070933
C/LA/2694,Ross,54.77840202,-4.10711398
C/LA/2693,Ross,54.77840202,-4.10711398
C/LA/2692,Ross,54.77840202,-4.10711398
C/LA/2691,Ross,54.77840202,-4.10711398
C/JO/3247,Argyll,56.42806202,-5.23971498
C/JO/3090,Aberdeen,57.1041518,-2.2058926
C/JO/3071,Fife,56.0058839,-3.7395259
C/JO/3070,Fife,56.0058839,-3.7395259
C/JO/3069,Fife,56.0058839,-3.7395259
C/JO/3067,Stirling,56.0918724,-3.9750002
C/JO/3036,Aberdeen,57.1041518,-2.2058926
C/JO/3035,Aberdeen,57.1041518,-2.2058926
C/JO/3033,Aberdeen,57.1041518,-2.2058926
C/JO/2934,Renfrew,55.8609671,-4.4206419
C/JO/2887,Dumfries,55.0415437,-3.6594178
C/JO/2857,Peebles,55.637283,-3.2076422
C/JO/2820,Edinburgh,55.8904228,-3.3330187
C/JO/2793,Edinburgh,55.8904228,-3.3330187
C/JO/2787,Edinburgh,55.8904228,-3.3330187
C/EGD/963,Orkney,58.93525202,-2.74522498
C/EGD/961,Linlithgow,55.9633796,-3.6396874
C/EGD/960,Linlithgow,55.9633796,-3.6396874
C/EGD/959,Linlithgow,55.9633796,-3.6396874
C/EGD/912,Linlithgow,55.9633796,-3.6396874
C/EGD/906,Lanark,55.6609692,-3.7986431
C/EGD/905,Lanark,55.6609692,-3.7986431
C/EGD/904,Selkirk,55.540504,-2.863602
C/EGD/900,Fife,56.0058839,-3.7395259
C/EGD/898,Fife,56.0058839,-3.7395259
C/EGD/897,Fife,56.0058839,-3.7395259
C/EGD/885,Linlithgow,55.9633796,-3.6396874
C/EGD/884,Linlithgow,55.9633796,-3.6396874
C/EGD/883,Linlithgow,55.9633796,-3.6396874
C/EGD/879,Linlithgow,55.9633796,-3.6396874
C/EGD/878,Linlithgow,55.9633796,-3.6396874
C/EGD/833,Roxburgh,55.56664102,-2.47769388
C/EGD/831,Perth,56.3567058,-3.5070933
C/EGD/830,Perth,56.3567058,-3.5070933
C/EGD/825,Peebles,55.637283,-3.2076422
C/EGD/824,Edinburgh,55.8904228,-3.3330187
